sample	cluster	genus_count	genus_umi
N1	BCells	0	0
N1	ECs	24	164
N1	EpithelialCells	24	134
N1	MastCells	23	129
N1	Melanocytes	18	148
N1	MesenchymalCells	49	533
N1	MPs	27	1820
N1	MuralCells	47	482
N1	PlasmaCells	1	1
N1	pDCs	0	0
N1	SMSCs	9	15
N1	TCells	8	46
N2	BCells	6	16
N2	ECs	13	51
N2	EpithelialCells	8	15
N2	MastCells	8	18
N2	Melanocytes	1	1
N2	MesenchymalCells	47	924
N2	MPs	28	654
N2	MuralCells	8	24
N2	PlasmaCells	6	8
N2	pDCs	9	20
N2	SMSCs	8	34
N2	TCells	25	281
T1	BCells	11	45
T1	ECs	25	149
T1	EpithelialCells	32	164
T1	MastCells	7	10
T1	Melanocytes	0	0
T1	MesenchymalCells	22	129
T1	MPs	39	610
T1	MuralCells	10	34
T1	PlasmaCells	23	136
T1	pDCs	16	65
T1	SMSCs	1	1
T1	TCells	28	178
T2	BCells	3	4
T2	ECs	10	93
T2	EpithelialCells	22	253
T2	MastCells	1	1
T2	Melanocytes	0	0
T2	MesenchymalCells	43	2202
T2	MPs	52	2696
T2	MuralCells	9	58
T2	PlasmaCells	12	44
T2	pDCs	13	141
T2	SMSCs	3	4
T2	TCells	21	197
